詳細,発句（俳句）,読み,季題１,出典
170,爺が世や枯木も雪の花の春,じいがよや　かれきもゆきの　はなのはる,1新年,文政句帖
171,門口や自然生なる松の春,かどぐちや　じねんばえなる　まつのはる,1新年,八番日記
172,とてもならみろくの御代を松の春,とてもなら　みろくのみよを　まつのはる,1新年,自筆本
173,引窓の一度にあくや江戸の春,ひくまどの　いちどにあくや　えどのはる,1新年,文政句帖
174,家根の窓一度に引や江戸の春,やねのまど　いちどにひくや　えどのはる,1新年,文政句帖
175,雑煮いはふ吾も物かは旅の春,ぞうにいわう　われもものかは　たびのはる,1新年,寛政句帖
176,出て見れば我のみならず初旅寝,でてみれば　われのみならず　はつたびね,1新年,西国紀行
177,嚔は我がうはさか旅の春,くつさめは　われがうわさか　たびのはる,1新年,文政句帖
178,むさしのや大名衆も旅の春,むさしのや　だいみょうしゅうも　たびのはる,1新年,文政句帖
179,鶯のくる影ぼしも窓の春,うぐいすの　くるかげぼしも　まどのはる,1新年,八番日記
180,鶯のぐな鳥さへも窓の春,うぐいすの　ぐなとりさえも　まどのはる,1新年,文政句帖
181,鶯のぐな鳥影も窓の春,うぐいすの　ぐなとりかげも　まどのはる,1新年,希杖本
182,庵の春寝そべる程は霞なり,いおのはる　ねそべるほどは　かすむなり,1新年,嘉永版
183,庵の春寝そべる程は霞けり,いおのはる　ねそべるほどは　かすみけり,1新年,発句鈔追加
184,わが春は竹一本に柳哉,わがはるは　たけいっぽんに　やなぎかな,1新年,文化句帖
185,わが春やたどん一ツに小菜一把,わがはるや　たどんひとつに　おないちわ,1新年,文化句帖
186,我春も上々吉よ梅の花,わがはるも　じょうじょうきちよ　うめのはな,1新年,七番日記
187,我春も上々吉ぞ梅の花,わがはるも　じょうじょうきちぞ　うめのはな,1新年,随斎筆紀他
188,わが春も上々吉よけさの空,わがはるも　じょうじょうきちよ　けさのそら,1新年,七番日記
189,目出度さもちう位也おらが春,めでたさも　ちゅうぐらいなり　おらがはる,1新年,おらが春
190,しづけしや春を三島のほかけ舟,しずけしや　はるをみしまの　ほかけぶね,1新年,西国紀行
191,なべ一ツ柳一本も是も春,なべひとつ　やなぎいっぽんも　これもはる,1新年,文化句帖
192,欠鍋も旭さす也是も春,かけなべも　あさひさすなり　これもはる,1新年,文化句帖
193,はつ春も月夜となるや顔の皺,はつはるも　つきよとなるや　かおのしわ,1新年,文化句帖
194,はつ春も月夜になるや人の皺,はつはるも　つきよになるや　ひとのしわ,1新年,発句鈔追加他
195,初春も月夜もよ所に伏家哉,はつはるも　つきよもよそに　ふせやかな,1新年,文化句帖
196,はつ春やけぶり立るも世間むき,はつはるや　けぶりたてるも　せけんむき,1新年,文化句帖
197,我門や芸なし鳩も春を鳴,わがかどや　げいなしばとも　はるをなく,1新年,文化句帖
198,貧乏草愛たき春に逢にけり,びんぼうぐさ　めでたきはるに　あいにけり,1新年,文化句帖
199,家なしの此身も春に逢ふ日哉,いえなしの　このみもはるに　あうひかな,1新年,文化五六句記
200,ふがいない身となおぼしそ人は春,ふがいない　みとなおぼしそ　ひとははる,1新年,七番日記
201,世(の)中の梅よ柳よ人は春,よのなかの　うめよやなぎよ　ひとははる,1新年,志多良
202,男風今や吹らん島の春,おとこかぜ　いまやふくらん　しまのはる,1新年,七番日記
203,狼も上下で出よ戌の春,おおかみも　かみしもででよ　いぬのはる,1新年,七番日記
204,初春のけ形りは我(と)雀かな,はつはるの　けなりはわれと　すずめかな,1新年,八番日記
205,一面にろくな春也門の雪,いちめんに　ろくなはるなり　かどのゆき,1新年,文政句帖
206,大雪のど(こ)がどこ迄ろくな春,おおゆきの　どこがどこまで　ろくなはる,1新年,文政句帖
207,小ばくちは蚊の呪や里の春,こばくちは　かのまじないや　さとのはる,1新年,文政句帖
208,初春や千代のためしに立給ふ,はつはるや　ちよのためしに　たちたまう,1新年,遺稿
209,春立といふばかりでも草木哉,はるたつと　いうばかりでも　くさきかな,1新年,享和句帖
210,春立や四十三年人の飯,はるたつや　しじゅうさんねん　ひとのめし,1新年,文化句帖
211,春立や見古したれど筑波山,はるたつや　みふるしたれど　つくばさん,1新年,文化句帖
212,春立やよしのはおろか人の顔,はるたつや　よしのはおろか　ひとのかお,1新年,文化句帖
213,ちぐはぐの下駄から春は立にけり,ちぐはぐの　げたからはるは　たちにけり,1新年,文化句帖
214,春立や草さへ持たぬ門に迄,はるたつや　くささえもたぬ　かどにまで,1新年,文化句帖
215,けぶりさへ千代(の)ためしや春の立,けぶりさえ　ちよのためしや　はるのたつ,1新年,文化句帖
216,我国はけぶりも千代のためし哉,わがくには　けぶりもちよの　ためしかな,1新年,発句鈔追加
217,沙汰なしに春は立けり草屋敷,さたなしに　はるはたちけり　くさやしき,1新年,文化句帖
